Employment,Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,OpSys,Age,Gender,Sexuality,Ethnicity,ConvertedCompYearly
"Employed full-time",Italy,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",11,5,"Developer, embedded applications or devices;Product manager","2 to 9 employees","EUR European Euro",2100,Monthly,C;C++,C;C++,NA,NA,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",27240
"Employed part-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",7,1,"Academic researcher;Student","1,000 to 4,999 employees","EUR European Euro",2200,Monthly,Matlab;Python,Python,NA,NA,NA,NA,Windows,"18-24 years old",Man,"Gay or Lesbian","White or of European descent",28536
"Employed full-time","United States of America","Professional degree (JD, MD, etc.)",30,12,"Engineer, data;Developer, back-end","500 to 999 employees","USD	United States dollar",400000,Yearly,Assembly;C;C++;Objective-C;Python;Swift,NA,NA,NA,NA,NA,MacOS,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",400000
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Other doctoral degree (Ph.D., Ed.D., etc.)",4,1,"Developer, back-end","1,000 to 4,999 employees","GBP	Pound sterling",55000,Yearly,C++,C++;Haskell,NA,NA,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",71093
"Employed full-time",Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,3,"Developer, full-stack","2 to 9 employees","BRL	Brazilian real",2000,Monthly,HTML/CSS;JavaScript;Node.js;TypeScript,HTML/CSS;JavaScript;Node.js;TypeScript,NA,NA,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","Hispanic or Latino/a/x",5496
Retired,"United States of America","Other doctoral degree (Ph.D., Ed.D., etc.)",50,NA,NA,NA,NA,NA,NA,Clojure;Java;LISP,Java;LISP;Rust,SQLite,SQLite,NA,NA,MacOS,"65 years or older",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time","Iran, Islamic Republic of...","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,2,"Developer, front-end","10 to 19 employees","IRR	Iranian rial",50000000,Monthly,Assembly;C++;Dart;HTML/CSS;Java;Matlab;Python;SQL,Dart;Go;Julia;Kotlin;Python;TypeScript,Firebase;MongoDB;MySQL;SQLite,Firebase;MongoDB;MySQL,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent;Middle Eastern",14256
"Employed full-time",Italy,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",13,3,"Engineer, data;Data scientist or machine learning specialist;Data or business analyst","100 to 499 employees","EUR European Euro",30000,Yearly,C#;HTML/CSS;Java;Matlab;Python;Scala;SQL,Python;Scala;SQL,"MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL","Microsoft SQL Server;MongoDB;PostgreSQL","AWS;Microsoft Azure","AWS;Microsoft Azure",Linux-based,"25-34 years old",Woman,"Gay or Lesbian","White or of European descent",32429
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",27,25,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Data or business analyst","20 to 99 employees","USD	United States dollar",160000,Yearly,C#;HTML/CSS;JavaScript;SQL,NA,"Microsoft SQL Server;MySQL;SQLite",NA,"Microsoft Azure",NA,Windows,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",160000
"Independent contractor, freelancer, or self-employed",Brazil,"Some college/university study without earning a degree",18,14,"Developer, full-stack","2 to 9 employees","BRL	Brazilian real",24000,Monthly,Bash/Shell;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript,Node.js;TypeScript,DynamoDB;Elasticsearch;MariaDB;MySQL;Redis,DynamoDB;Firebase;PostgreSQL;Redis,AWS,AWS,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent;Multiracial;Indigenous (such as Native American, Pacific Islander, or Indigenous Australian)",65976
"Employed full-time",India,"Something else",4,1,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Designer","2 to 9 employees","INR	Indian rupee",NA,NA,C;C#;JavaScript;Node.js;TypeScript,C;TypeScript,Firebase;MariaDB;PostgreSQL;SQLite,MariaDB;PostgreSQL;SQLite,"Google Cloud Platform",AWS;DigitalOcean,Linux-based,"Under 18 years old",Man,"Straight / Heterosexual","South Asian",NA
"Employed full-time",Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8,6,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices","20 to 99 employees","EUR European Euro",25000,Yearly,Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;Kotlin;Node.js;Objective-C;PHP;Python;SQL;TypeScript;VBA,C#;C++;Go;Kotlin;Node.js;Python;Rust;TypeScript,"Elasticsearch;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite",Elasticsearch,"AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure","AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Microsoft Azure",Linux-based,"25-34 years old",Man,"Straight / Heterosexual","Or, in your own words:",27025
"Employed full-time",Canada,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",9,1,"Developer, full-stack;Developer, embedded applications or devices","20 to 99 employees","CAD	Canadian dollar",65000,Yearly,Bash/Shell;C;C++;HTML/CSS;JavaScript;Python;Rust;SQL,Bash/Shell;C++;JavaScript;Rust;SQL,MySQL;SQLite,SQLite,AWS,AWS,Linux-based,"18-24 years old",Man,"Straight / Heterosexual;Bisexual","White or of European descent",49160
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,3,"Developer, front-end;Developer, full-stack;Engineer, data;Developer, back-end;Database administrator;Designer;System administrator","100 to 499 employees","USD	United States dollar",64000,Yearly,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;Python;SQL,"Elasticsearch;MariaDB;Microsoft SQL Server;PostgreSQL;SQLite",PostgreSQL;SQLite,"AWS;Microsoft Azure",NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",64000
"Employed full-time","Czech Republic","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",16,9,"Developer, full-stack","10,000 or more employees","CZK	Czech koruna",110000,Monthly,Bash/Shell;HTML/CSS;JavaScript;Julia;Node.js;Python;SQL;TypeScript,Go;HTML/CSS;Julia;Node.js;Rust;TypeScript,DynamoDB;PostgreSQL,PostgreSQL,AWS,AWS,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",57156
"Employed full-time",Slovenia,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",15,10,"Developer, mobile","20 to 99 employees","EUR European Euro",3050,Monthly,Java;Kotlin,Kotlin,NA,NA,NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",39564
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",30,8,"Developer, front-end;Developer, back-end;Database administrator;System administrator","20 to 99 employees","GBP	Pound sterling",39000,Yearly,C#;SQL;VBA,C#;JavaScript;Node.js;PowerShell;Python,"Microsoft SQL Server","Microsoft SQL Server",NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",50411
"Employed full-time",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",9,4,Designer,"20 to 99 employees","EUR European Euro",50000,Yearly,HTML/CSS;JavaScript;Node.js;Python,HTML/CSS;JavaScript;Node.js;Python,NA,NA,Heroku,Heroku,MacOS,"25-34 years old",Man,NA,"White or of European descent",54049
"Employed full-time",Spain,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,NA,"Developer, front-end","2 to 9 employees","EUR European Euro",4000,Monthly,HTML/CSS;JavaScript;TypeScript,NA,NA,NA,NA,NA,MacOS,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",51888
"Independent contractor, freelancer, or self-employed",Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,4,"Developer, front-end","20 to 99 employees","EUR European Euro",4583,Monthly,HTML/CSS;Java;JavaScript;Node.js;PHP;TypeScript,Elixir;Go;HTML/CSS;JavaScript;Node.js;Ruby;TypeScript,MongoDB;PostgreSQL;Redis,PostgreSQL;Redis,"DigitalOcean;Heroku;Microsoft Azure","DigitalOcean;Heroku;Microsoft Azure",MacOS,"18-24 years old",Man,"Straight / Heterosexual","Hispanic or Latino/a/x",59448
"Employed full-time","United States of America","Other doctoral degree (Ph.D., Ed.D., etc.)",14,7,"Data scientist or machine learning specialist;Scientist","10,000 or more employees","USD	United States dollar",135000,Yearly,Bash/Shell;R,Bash/Shell;R,PostgreSQL,NA,AWS,AWS,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",135000
"Employed full-time",Poland,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",21,14,"Developer, full-stack;Other (please specify):;Developer, back-end","1,000 to 4,999 employees","PLN	Polish zloty",416000,Yearly,Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js,Kotlin,NA,NA,AWS,AWS,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",105300
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",36,26,"Developer, full-stack;Developer, back-end;DevOps specialist","5,000 to 9,999 employees","GBP	Pound sterling",NA,Monthly,Bash/Shell;HTML/CSS;Java;JavaScript;SQL,NA,"Microsoft SQL Server;MySQL;Oracle",NA,"Microsoft Azure",NA,Windows,"45-54 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Nigeria,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",9,"Less than 1 year","Developer, full-stack","100 to 499 employees","NGN	Nigerian naira",405000,Monthly,Assembly;C;C++;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript,C;C++;HTML/CSS;JavaScript;Node.js;Python;Rust;Swift;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,AWS;DigitalOcean;Heroku,AWS;DigitalOcean,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","Black or of African descent",13332
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",9,4,"Developer, desktop or enterprise applications","1,000 to 4,999 employees","EUR European Euro",43000,Yearly,C;C#;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;VBA,C#;C++;HTML/CSS;JavaScript;Python;Ruby;SQL,"Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite",PostgreSQL;SQLite,Heroku,Heroku,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",46482
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",5,1,"Developer, back-end;Developer, embedded applications or devices;Engineer, site reliability","2 to 9 employees","EUR European Euro",40000,Monthly,Bash/Shell;C;Go;Java;SQL,Bash/Shell;Go;Rust,MariaDB;MongoDB;PostgreSQL;Redis;SQLite,Redis;SQLite,NA,NA,MacOS,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",518868
"Independent contractor, freelancer, or self-employed",Brazil,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",14,4,"Data scientist or machine learning specialist;Developer, back-end","20 to 99 employees","USD	United States dollar",15000,Monthly,Bash/Shell;C++;Go;Perl;SQL,Bash/Shell;C++;Go;SQL,MariaDB;MongoDB;PostgreSQL,MariaDB;MongoDB;PostgreSQL,AWS;DigitalOcean,DigitalOcean,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",180000
"Employed full-time",Brazil,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,4,"Developer, QA or test","20 to 99 employees","BRL	Brazilian real",6500,Monthly,Bash/Shell;C++;HTML/CSS;Matlab;Python;R,Bash/Shell;HTML/CSS;JavaScript;Python,Firebase;MySQL;SQLite,MySQL;PostgreSQL;SQLite,Heroku,AWS,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","Hispanic or Latino/a/x",17868
"I prefer not to say",Germany,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",4,2,NA,"Just me - I am a freelancer, sole proprietor, etc.","EUR European Euro",NA,NA,Dart;Java,Dart,Firebase;SQLite,Firebase;SQLite,NA,NA,MacOS,"18-24 years old",Man,"Prefer to self-describe:","Prefer not to say",NA
"Employed full-time",France,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",11,6,"Developer, mobile;Developer, front-end","I donâ€™t know","EUR European Euro",NA,NA,Swift,Rust;Swift,NA,NA,NA,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Employed full-time",Belgium,"Some college/university study without earning a degree",4,2,"Developer, desktop or enterprise applications;Developer, back-end;Developer, embedded applications or devices","10 to 19 employees","EUR European Euro",2000,Monthly,C#;Python,C#;F#;Python,"Microsoft SQL Server;SQLite","Microsoft SQL Server;MongoDB;SQLite",NA,NA,Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent;East Asian;Biracial",25944
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",3,2,"Data scientist or machine learning specialist","2 to 9 employees","GBP	Pound sterling",58000,Yearly,HTML/CSS;JavaScript;Node.js;Python;SQL,JavaScript;Python,PostgreSQL,PostgreSQL,"AWS;Google Cloud Platform","AWS;Google Cloud Platform",MacOS,"25-34 years old",Man,"Straight / Heterosexual","Middle Eastern",74970
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,"Less than 1 year","Developer, full-stack","10,000 or more employees","INR	Indian rupee",2300000,Monthly,JavaScript;Node.js;Python,Elixir;Go;Node.js;TypeScript,PostgreSQL;Redis,DynamoDB;Elasticsearch;PostgreSQL;Redis,DigitalOcean;Heroku,"AWS;Google Cloud Platform;Heroku",Windows,"18-24 years old",Man,"Straight / Heterosexual","South Asian",385344
"Independent contractor, freelancer, or self-employed","Czech Republic","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",15,8,"Developer, full-stack;Database administrator;Designer;System administrator","2 to 9 employees","CZK	Czech koruna",50000,Monthly,C;C#;C++;HTML/CSS;JavaScript;Node.js;Objective-C;PHP;Python;SQL;TypeScript,HTML/CSS;JavaScript;Node.js;PHP;Rust;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL,MariaDB;MongoDB;MySQL;PostgreSQL,"Heroku;Microsoft Azure",AWS,Linux-based,"25-34 years old","Or, in your own words:","Straight / Heterosexual","White or of European descent",25980
"Employed full-time","United Kingdom of Great Britain and Northern Ireland","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",12,10,"Developer, front-end;Developer, back-end;Database administrator;System administrator","100 to 499 employees","GBP	Pound sterling",NA,Yearly,JavaScript;PHP;SQL,JavaScript;PHP;Python;SQL,MariaDB;MySQL;Redis,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Redis,DigitalOcean,AWS;DigitalOcean,Linux-based,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Independent contractor, freelancer, or self-employed",Tunisia,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,5,"Developer, desktop or enterprise applications;Developer, full-stack;Engineer, data;Data scientist or machine learning specialist;Academic researcher;Scientist;Developer, embedded applications or devices","10 to 19 employees","TND	Tunisian dinar",NA,NA,Assembly;Bash/Shell;C;C++;JavaScript;LISP;Matlab;Node.js;PHP;Python;Ruby;SQL,Bash/Shell;C;C++;Go;JavaScript;Node.js;PHP;Python;Scala;SQL,MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,MySQL;PostgreSQL,"Google Cloud Platform;IBM Cloud or Watson","Google Cloud Platform",Windows,"35-44 years old",Man,"Straight / Heterosexual","Middle Eastern",NA
"Employed full-time",Canada,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",8,3,"Developer, QA or test;Developer, embedded applications or devices;DevOps specialist","10 to 19 employees","CAD	Canadian dollar",70000,Yearly,Bash/Shell;C;Python,Bash/Shell;C;Python,PostgreSQL;SQLite,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",52942
"Employed part-time",Spain,"Some college/university study without earning a degree",3,1,"Other (please specify):;Developer, back-end;Developer, embedded applications or devices","20 to 99 employees","EUR European Euro",9000,Yearly,Bash/Shell;C;C#;C++;Java;JavaScript;Node.js;Rust;SQL,Assembly;Bash/Shell;C;C#;C++;Java;Python;Rust;SQL,MySQL,MySQL,DigitalOcean,DigitalOcean,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",9729
"Student, full-time",Bangladesh,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,NA,NA,NA,NA,NA,C;C#;C++;HTML/CSS;Java;JavaScript;SQL,NA,NA,NA,NA,NA,Linux-based,"18-24 years old",Man,"Straight / Heterosexual","South Asian",NA
"Employed full-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",15,15,"Developer, back-end","1,000 to 4,999 employees","INR	Indian rupee",NA,NA,C#;JavaScript;Python;SQL;VBA,C#;JavaScript;PowerShell;Python;SQL,"Microsoft SQL Server;Oracle",MongoDB;PostgreSQL;Redis;SQLite,NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","South Asian",NA
"Employed full-time",Austria,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",10,2,"Data scientist or machine learning specialist","1,000 to 4,999 employees","EUR European Euro",3100,Monthly,Python;R;SQL,Python;R;SQL,MySQL;PostgreSQL;SQLite,PostgreSQL,"AWS;Google Cloud Platform","AWS;Google Cloud Platform",Windows,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",40212
"Student, full-time","United States of America","Something else",10,NA,NA,NA,NA,NA,NA,C;C++;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL;TypeScript,C#;Go;Java;R;Ruby;Swift,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cassandra,DigitalOcean;Heroku,"Google Cloud Platform;Microsoft Azure",MacOS,"Under 18 years old",Man,"Straight / Heterosexual","Southeast Asian;South Asian",NA
"Employed full-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",7,3,"Developer, mobile;Developer, full-stack;Developer, back-end","20 to 99 employees","USD	United States dollar",85000,Yearly,Bash/Shell;C#;Java;JavaScript;Node.js;Objective-C;SQL;Swift;TypeScript,Bash/Shell;C#;Node.js;Swift;TypeScript,"Microsoft SQL Server;SQLite","DynamoDB;Firebase;Microsoft SQL Server;MongoDB","AWS;Google Cloud Platform;Microsoft Azure","AWS;Microsoft Azure",MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",85000
